year,month,avtemp,mxtemp
2004,10,-11.29880645,-9.338032258
2004,11,-23.78866667,-20.48433333
2004,12,-29.81193548,-25.79096774
2005,1,-30.4016129,-26.19096774
2005,2,-25.53,-21.35678571
2005,3,-27.40870968,-23.42806452
2005,4,-22.92,-17.57366667
2005,5,-6.135741935,-0.639516129
2005,6,3.880204518,7.414777778
2005,7,5.408688865,6.926
2005,8,4.724580645,7.654677419
2005,9,-4.526633333,-1.345333333
2005,10,-14.97774194,-12.58358065
2005,11,-22.41166667,-18.96433333
2005,12,-26.13225806,-22.65258065
2006,1,-29.77258065,-26.10225806
2006,2,-31.78107143,-28.16571429
2006,3,-28.69129032,-24.16258065
2006,4,-20.271,-14.0002
2006,5,-4.378193548,1.130193548
2006,6,2.8667,5.5447
2006,7,6.623645161,10.07925806
2006,8,4.852935484,8.096387097
2006,9,-2.907666667,0.706366667
2006,10,-11.33612903,-8.930129032
2006,11,-23.76933333,-19.95966667
2006,12,-28.90967742,-25.57387097
2007,1,-27.6,-23.48645161
2007,2,-25.45607143,-21.7075
2007,3,-30.22645161,-26.10612903
2007,4,-15.7473,-10.65476667
2007,5,-6.791709677,-2.042612903
2007,6,4.4301,8.0147
2007,7,7.770870968,10.98877419
2007,8,5.654,7.69
2008,6,7.9224,12.0086
2008,7,6.938225806,10.56258065
2008,8,5.497882353,8.425
2009,7,9.6628125,13.09375
2010,1,-29.76142857,-25.79571429
2010,2,-22.28035714,-18.66607143
2010,3,-24.52483871,-20.22451613
2010,4,-15.53966667,-9.553666667
2010,5,-3.908225806,1.265870968
2010,6,5.388933333,9.815033333
2010,7,7.654590909,11.505
2011,7,9.679633333,13.09533333
2011,8,7.729933333,11.179
2011,12,-28.75230769,-24.80076923
2012,1,-31.39774194,-27.66387097
2012,2,-32.2162069,-28.34275862
2012,3,-33.10903226,-29.21516129
2012,4,-20.68433333,-14.5
2012,5,-7.151645161,-0.233935484
2012,6,5.6853,9.191033333
2012,7,8.673354839,12.45477419
2012,8,7.7006,11.198
2012,9,-5.522461538,-2.705
2012,10,-13.62459375,-10.80228125
2012,11,-23.46,-19.80166667
2012,12,-25.03870968,-21.14258065
2013,1,-29.64580645,-25.86419355
2013,2,-33.28714286,-30.05714286
2013,3,-24.26129032,-19.42196774
2013,4,-19.52866667,-13.84943333
2013,5,-9.510512195,-3.060756098
2013,6,3.352366667,6.401633333
2013,7,6.183354839,9.367032258
2013,8,3.085451613,6.378645161
2013,9,-6.233606061,-3.388212121
2013,10,-15.29548387,-12.33641935
2013,11,-27.0862069,-23.55172414
2013,12,-28.9216129,-25.21322581
2014,1,-26.36741935,-22.71935484
